20210101,102340,2,3000
20210101,201447,2,500
20210101,102340,2,11000
20210101,102341,2,4500
20210101,201446,1,2000
20210101,102343,2,9000
20210101,102342,1,1500
20210101,102341,2,8000
20210101,201446,2,500
20210101,102342,2,4500
20210101,102343,2,3000
20210101,102342,1,500
20210101,102342,2,5000
20210101,102343,2,2000
20210101,102340,1,8000
20210101,102342,1,7000
20210101,201447,2,2000
20210101,201445,2,10000
20210101,102342,2,500
20210101,102341,1,9000
20210102,102341,1,3300
20210102,201448,2,500
20210102,102340,2,25000
20210102,201447,2,2500
20210102,102344,2,500
20210102,201446,2,1000
20210102,102340,2,9000
20210102,102340,2,2500
20210102,201444,2,1500
20210102,201444,2,2000
20210102,102344,2,5000
20210102,102343,2,2000
20210102,201448,2,3300
20210102,102340,1,1500
20210102,102342,2,9000
20210102,102341,2,500
20210102,201444,2,4500
20210102,201445,2,2000
20210102,201448,2,8000
20210102,201446,1,7000
20210103,201447,2,500
20210103,201444,1,2500
20210103,102343,2,2000
20210103,102340,2,3000
20210103,102340,1,500
20210103,201446,1,2000
20210103,201448,1,10000
20210103,102342,1,4500
20210103,102344,2,3300
20210103,102343,1,1000
20210103,201445,1,1500
20210103,201448,1,3300
20210103,102342,2,7000
20210103,201446,1,1000
20210103,201448,1,10000
20210103,201447,2,25000
20210103,201446,1,2000
20210103,201446,2,1500
20210103,102343,1,7000
20210103,201445,2,7000
20210104,201446,1,22000
20210104,102343,1,3000
20210104,102342,2,1000
20210104,201444,1,500
20210104,102341,1,1000
20210104,102344,1,3300
20210104,201448,2,2500
20210104,201445,1,8000
20210104,102344,2,10000
20210104,102343,2,10000
20210104,102343,2,4500
20210104,201444,1,7000
20210104,201446,1,500
20210104,102344,1,10000
20210104,102341,1,2000
20210104,102340,2,7000
20210104,201448,2,1500
20210104,102340,1,4500
20210104,201444,2,500
20210104,201446,1,2000
20210107,201447,2,1000
20210107,201448,1,25000
20210107,201447,2,1000
20210107,102344,1,500
20210107,102344,2,8000
20210107,102344,1,4500
20210107,201446,2,500
20210107,201447,1,500
20210107,102342,1,3000
20210107,102343,1,1000
20210107,102341,2,25000
20210107,102343,2,9000
20210107,102342,2,25000
20210107,102340,1,500
20210107,201448,1,1500
20210107,201447,2,2000
20210107,201446,2,9000
20210107,102340,1,1500
20210107,102341,2,3000
20210107,201447,1,3300
20210108,201444,1,2500
20210108,201448,2,2000
20210108,201444,1,3000
20210108,102343,2,1500
20210108,102343,1,9000
20210108,201446,1,1500
20210108,102343,2,2500
20210108,102343,2,9000
20210108,102341,1,3000
20210108,102340,2,10000
20210108,201447,1,1500
20210108,201444,2,4500
20210108,201444,1,500
20210108,102340,1,500
20210108,102340,2,8000
20210108,201445,1,500
20210108,201444,2,3000
20210108,201447,1,2000
20210108,201447,1,10000
20210108,201447,1,4500
20210109,201445,2,5000
20210109,102344,1,3300
20210109,201445,1,2000
20210109,102340,1,8000
20210109,201444,1,9000
20210109,201445,2,3000
20210109,102340,2,500
20210109,201447,2,10000
20210109,102343,2,8000
20210109,102343,1,10000
20210109,201448,1,4500
20210109,102344,2,2000
20210109,102342,1,5000
20210109,102342,1,1000
20210109,102343,2,500
20210109,201444,2,9000
20210109,201445,1,7000
20210109,102344,1,3000
20210109,201446,2,25000
20210109,201446,2,500
20210110,201444,1,500
20210110,102344,1,8000
20210110,201448,2,3000
20210110,102341,1,10000
20210110,102342,1,10000
20210110,102341,1,8000
20210110,102342,2,3300
20210110,201445,1,3300
20210110,201444,2,10000
20210110,102344,2,10000
20210110,102344,2,1500
20210110,201448,1,2000
20210110,102340,1,2000
20210110,201446,1,500
20210110,102341,1,1000
20210110,201446,1,3300
20210110,102340,2,10000
20210110,102340,2,1500
20210110,102344,2,500
20210110,102340,1,500
20210111,201446,2,500
20210111,102340,2,10000
20210111,102343,1,5000
20210111,201447,2,8000
20210111,201447,1,9000
20210111,201446,2,9000
20210111,102344,2,8000
20210111,201445,1,10000
20210111,201448,2,8000
20210111,201445,2,600
20210111,201444,2,3000
20210111,201445,2,2000
20210111,102342,1,400
20210111,102344,2,3500
20210111,102343,1,24000
20210111,201445,1,1700
20210111,201445,2,7600
20210111,102344,1,3500
20210111,201444,2,900
20210111,201448,1,35000
